Date,State,TotalSamples,Negative,Positive,total_positive
19-04-2021,Arunachal Pradesh,421131,391644,,9823
20-04-2021,Arunachal Pradesh,423123,393575,,9823
21-04-2021,Arunachal Pradesh,425461,395839,,9823
22-04-2021,Arunachal Pradesh,428202,398469,,9823
23-04-2021,Arunachal Pradesh,431231,401354,,9823
24-04-2021,Arunachal Pradesh,434293,404295,,9823
25-04-2021,Arunachal Pradesh,436658,406585,,9823
26-04-2021,Arunachal Pradesh,440234,409987,,9823
27-04-2021,Arunachal Pradesh,443327,412948,,9823
28-04-2021,Arunachal Pradesh,447019,416471,,9823
29-04-2021,Arunachal Pradesh,450543,419790,,9823
30-04-2021,Arunachal Pradesh,453906,422980,,9823
01-05-2021,Arunachal Pradesh,457369,426217,,9823
02-05-2021,Arunachal Pradesh,459804,428546,,9823
03-05-2021,Arunachal Pradesh,463551,432062,,9823
04-05-2021,Arunachal Pradesh,467378,435648,,9823
05-05-2021,Arunachal Pradesh,470855,438895,,9823
06-05-2021,Arunachal Pradesh,474314,442129,,9823
07-05-2021,Arunachal Pradesh,477466,445102,,9823
08-05-2021,Arunachal Pradesh,480631,448014,,9823
09-05-2021,Arunachal Pradesh,482862,450118,,9823
10-05-2021,Arunachal Pradesh,485734,452781,,9823
11-05-2021,Arunachal Pradesh,488727,455567,,9823
12-05-2021,Arunachal Pradesh,492061,458616,,9823
13-05-2021,Arunachal Pradesh,495141,461437,,9823
14-05-2021,Arunachal Pradesh,497938,463963,,9823
15-05-2021,Arunachal Pradesh,500708,466473,,9823
16-05-2021,Arunachal Pradesh,502767,468349,,9823
17-05-2021,Arunachal Pradesh,506975,472242,,9823
18-05-2021,Arunachal Pradesh,511863,476764,,9823
19-05-2021,Arunachal Pradesh,516372,480928,,9823
20-05-2021,Arunachal Pradesh,520974,485146,,9823
21-05-2021,Arunachal Pradesh,525589,489363,,9823
22-05-2021,Arunachal Pradesh,530121,493576,,9823
23-05-2021,Arunachal Pradesh,533126,496350,,9823
24-05-2021,Arunachal Pradesh,539733,502474,,9823
25-05-2021,Arunachal Pradesh,546447,508750,,9823
26-05-2021,Arunachal Pradesh,553056,514977,,9823
27-05-2021,Arunachal Pradesh,560340,521814,,9823
28-05-2021,Arunachal Pradesh,568556,529524,,9823
29-05-2021,Arunachal Pradesh,575997,536497,,9823
30-05-2021,Arunachal Pradesh,580353,540676,,9823
31-05-2021,Arunachal Pradesh,585905,545903,,9823
01-06-2021,Arunachal Pradesh,592424,552041,,9823
02-06-2021,Arunachal Pradesh,599605,558835,,9823
03-06-2021,Arunachal Pradesh,607591,566447,,9823
04-06-2021,Arunachal Pradesh,616569,575014,,9823
05-06-2021,Arunachal Pradesh,624422,582526,,9823
06-06-2021,Arunachal Pradesh,630180,588052,,9823
07-06-2021,Arunachal Pradesh,638028,595531,,9823
08-06-2021,Arunachal Pradesh,645249,602439,,9823
09-06-2021,Arunachal Pradesh,651115,608039,,9823
10-06-2021,Arunachal Pradesh,657846,614508,,9823
11-06-2021,Arunachal Pradesh,663519,619816,,9823
12-06-2021,Arunachal Pradesh,669428,625410,,9823
13-06-2021,Arunachal Pradesh,673167,628995,,9823
14-06-2021,Arunachal Pradesh,679537,634983,,9823
15-06-2021,Arunachal Pradesh,683592,638721,,9823
16-06-2021,Arunachal Pradesh,694292,649148,,9823
17-06-2021,Arunachal Pradesh,700761,655308,,9823
18-06-2021,Arunachal Pradesh,706494,660824,,9823
19-06-2021,Arunachal Pradesh,711716,665804,,9823
20-06-2021,Arunachal Pradesh,715752,669675,,9823
21-06-2021,Arunachal Pradesh,721157,674771,,9823
22-06-2021,Arunachal Pradesh,726805,680115,,9823
23-06-2021,Arunachal Pradesh,732078,685114,,9823
24-06-2021,Arunachal Pradesh,737403,690129,,9823
25-06-2021,Arunachal Pradesh,742574,695016,,9823
26-06-2021,Arunachal Pradesh,747206,699340,,9823
27-06-2021,Arunachal Pradesh,750910,702865,,9823
28-06-2021,Arunachal Pradesh,756207,707859,,9823
29-06-2021,Arunachal Pradesh,761108,712411,,9823
30-06-2021,Arunachal Pradesh,765890,716897,,9823
01-07-2021,Arunachal Pradesh,771020,,,9823
02-07-2021,Arunachal Pradesh,776970,,,9823
03-07-2021,Arunachal Pradesh,780582,,,9823
04-07-2021,Arunachal Pradesh,784187,,,9823
05-07-2021,Arunachal Pradesh,790027,,,9823
06-07-2021,Arunachal Pradesh,795331,,,9823
02-04-2020,Assam,962,819,16,16
10-04-2020,Assam,2863,2685,29,45
11-04-2020,Assam,3011,2842,29,58
12-04-2020,Assam,3138,2973,29,58
14-04-2020,Assam,3491,3267,31,60
15-04-2020,Assam,3613,3492,32,63
16-04-2020,Assam,4108,3803,34,66
17-04-2020,Assam,4236,4024,34,68
18-04-2020,Assam,4400,4199,34,68
19-04-2020,Assam,4865,4584,34,68
20-04-2020,Assam,5112,4937,34,68
21-04-2020,Assam,5514,5245,34,68
24-04-2020,Assam,6680,6391,35,69
25-04-2020,Assam,7159,6781,35,70
26-04-2020,Assam,7823,7474,35,70
27-04-2020,Assam,8117,7985,35,70
29-04-2020,Assam,9520,8771,37,72
02-05-2020,Assam,11623,10499,42,79
04-05-2020,Assam,12775,11764,42,84
05-05-2020,Assam,13442,12533,43,85
09-05-2020,Assam,16167,15076,59,102
10-05-2020,Assam,18002,16236,62,121
11-05-2020,Assam,19589,17813,64,126
12-05-2020,Assam,21791,19211,64,128
14-05-2020,Assam,25824,23178,86,150
15-05-2020,Assam,28178,25431,86,172
16-05-2020,Assam,31276,28332,91,177
17-05-2020,Assam,34376,32035,97,188
18-05-2020,Assam,37898,35159,106,203
19-05-2020,Assam,41116,38138,141,247
20-05-2020,Assam,47084,42729,170,311
21-05-2020,Assam,51730,46442,203,373
22-05-2020,Assam,55791,50450,259,462
23-05-2020,Assam,60405,54185,329,588
24-05-2020,Assam,66444,58972,378,707
25-05-2020,Assam,70029,62244,526,904
26-05-2020,Assam,72654,66562,616,1142
29-05-2020,Assam,92390,84933,1024,1640
30-05-2020,Assam,101257,91248,1185,2209
31-05-2020,Assam,109097,101006,1272,2457
02-06-2020,Assam,120375,111229,1513,2785
03-06-2020,Assam,126726,117650,1672,3185
04-06-2020,Assam,133029,122618,1988,3660
06-06-2020,Assam,146605,136154,2397,4385
07-06-2020,Assam,153326,142192,2565,4962
09-06-2020,Assam,169842,159760,2937,5502
11-06-2020,Assam,181108,171070,3319,6256
12-06-2020,Assam,188090,177989,3498,6817
15-06-2020,Assam,217088,,4158,7656
16-06-2020,Assam,227109,,4319,8477
17-06-2020,Assam,235214,,4605,8924
18-06-2020,Assam,246590,,4861,9466
19-06-2020,Assam,258797,,4904,9765
20-06-2020,Assam,273047,,5006,9910
21-06-2020,Assam,288306,,5388,10394
22-06-2020,Assam,301557,,5586,10974
23-06-2020,Assam,323258,,5853,11439
24-06-2020,Assam,336091,,6282,12135
25-06-2020,Assam,351753,,6646,12928
26-06-2020,Assam,362713,,6646,13292
27-06-2020,Assam,374519,,6919,13565
28-06-2020,Assam,385299,,7165,14084
29-06-2020,Assam,399393,,7492,14657
30-06-2020,Assam,412214,,7835,15327
01-07-2020,Assam,419878,,8547,16382
02-07-2020,Assam,428866,,8955,17502
03-07-2020,Assam,438882,,9434,18389
04-07-2020,Assam,449629,,9799,19233
05-07-2020,Assam,459143,,11001,20800
06-07-2020,Assam,471221,,11736,22737
07-07-2020,Assam,485156,,12522,24258
09-07-2020,Assam,508973,,14032,26554
10-07-2020,Assam,525485,,14600,28632
11-07-2020,Assam,537831,,15536,30136
12-07-2020,Assam,552376,,16071,31607
13-07-2020,Assam,563482,,16806,32877
14-07-2020,Assam,575867,,17807,34613
15-07-2020,Assam,589202,,18666,36473
16-07-2020,Assam,601385,,19754,38420
17-07-2020,Assam,614743,,20646,40400
18-07-2020,Assam,632372,,21864,42510
19-07-2020,Assam,651179,,22981,44845
20-07-2020,Assam,671191,,23999,46980
21-07-2020,Assam,689343,,25092,49091
22-07-2020,Assam,703374,,27744,52836
23-07-2020,Assam,723287,,28791,56535
24-07-2020,Assam,739465,,29921,58712
25-07-2020,Assam,753939,,31086,61007
26-07-2020,Assam,774484,,32228,63314
27-07-2020,Assam,796226,,33576,65804
28-07-2020,Assam,802674,,34947,68523
29-07-2020,Assam,838043,,36295,71242
30-07-2020,Assam,879071,,38407,74702
31-07-2020,Assam,917395,,40269,78676
01-08-2020,Assam,944556,,41726,81995
02-08-2020,Assam,964499,,42904,84630
03-08-2020,Assam,1006457,,45275,88179
04-08-2020,Assam,1065521,,48161,93436
05-08-2020,Assam,1124683,,50445,98606
06-08-2020,Assam,1180336,,52817,103262
07-08-2020,Assam,1238867,,55496,108313
08-08-2020,Assam,1293712,,57714,113210
09-08-2020,Assam,1318204,,58837,116551
10-08-2020,Assam,1378629,,61737,120574
11-08-2020,Assam,1430691,,64406,126143
12-08-2020,Assam,1573800,,68999,133405
13-08-2020,Assam,1635118,,71795,140794
14-08-2020,Assam,1684721,,74501,146296
15-08-2020,Assam,1705526,,,146296
16-08-2020,Assam,1725893,,76875,223171
17-08-2020,Assam,1775403,,79667,302838
18-08-2020,Assam,1819819,,82201,385039
19-08-2020,Assam,1860208,,84317,469356
20-08-2020,Assam,1894584,,86052,555408
21-08-2020,Assam,1930764,,87908,643316
22-08-2020,Assam,1953804,,,643316
23-08-2020,Assam,1972239,,,643316
24-08-2020,Assam,2000909,,,643316
25-08-2020,Assam,2035216,,,643316
26-08-2020,Assam,2071441,,,643316
27-08-2020,Assam,2106836,,,643316
28-08-2020,Assam,2146938,,,643316
29-08-2020,Assam,2183777,,,643316
30-08-2020,Assam,2217879,,,643316
31-08-2020,Assam,2262827,,,643316
01-09-2020,Assam,2299893,,,643316
02-09-2020,Assam,2347637,,,643316
03-09-2020,Assam,2396483,,,643316
04-09-2020,Assam,2436127,,,643316
05-09-2020,Assam,2471274,,,643316
06-09-2020,Assam,2494610,,,643316
07-09-2020,Assam,2533221,,,643316
08-09-2020,Assam,2567683,,,643316
09-09-2020,Assam,2599245,,,643316
10-09-2020,Assam,2634614,,,643316
11-09-2020,Assam,2671027,,,643316
12-09-2020,Assam,2702280,,,643316
13-09-2020,Assam,2717795,,,643316
14-09-2020,Assam,2750037,,,643316
15-09-2020,Assam,2782807,,,643316
16-09-2020,Assam,2815285,,,643316
17-09-2020,Assam,2835842,,,643316
18-09-2020,Assam,2871869,,,643316
19-09-2020,Assam,2907044,,,643316
20-09-2020,Assam,2926362,,,643316
21-09-2020,Assam,2961965,,,643316
22-09-2020,Assam,2991612,,,643316
23-09-2020,Assam,3021508,,,643316
24-09-2020,Assam,3050501,,,643316
25-09-2020,Assam,3078746,,,643316
26-09-2020,Assam,3104577,,,643316
27-09-2020,Assam,3119924,,,643316
28-09-2020,Assam,3240080,,,643316
29-09-2020,Assam,3374650,,,643316
30-09-2020,Assam,3523430,,,643316
01-10-2020,Assam,3563210,,,643316
02-10-2020,Assam,3591511,,,643316
03-10-2020,Assam,3625167,,,643316
04-10-2020,Assam,3638290,,,643316
05-10-2020,Assam,3673960,,,643316
06-10-2020,Assam,3705740,,,643316
07-10-2020,Assam,3739086,,,643316
08-10-2020,Assam,3771494,,,643316
09-10-2020,Assam,3803080,,,643316
10-10-2020,Assam,3830571,,,643316
11-10-2020,Assam,3841947,,,643316
12-10-2020,Assam,3949847,,,643316
13-10-2020,Assam,4076126,,,643316
14-10-2020,Assam,4215994,,,643316
15-10-2020,Assam,4251034,,,643316
16-10-2020,Assam,4285748,,,643316
17-10-2020,Assam,4308877,,,643316
18-10-2020,Assam,4322424,,,643316
19-10-2020,Assam,4357380,,,643316
20-10-2020,Assam,4395965,,,643316
21-10-2020,Assam,4438417,,,643316
22-10-2020,Assam,4472792,,,643316
23-10-2020,Assam,4490288,,,643316
24-10-2020,Assam,4502551,,,643316
25-10-2020,Assam,4511304,,,643316
26-10-2020,Assam,4525529,,,643316
27-10-2020,Assam,4551693,,,643316
28-10-2020,Assam,4577843,,,643316
29-10-2020,Assam,4606145,,,643316
30-10-2020,Assam,4631817,,,643316
31-10-2020,Assam,4657839,,,643316
01-11-2020,Assam,4669415,,,643316
02-11-2020,Assam,4699749,,,643316
03-11-2020,Assam,4728633,,,643316
04-11-2020,Assam,4757659,,,643316
05-11-2020,Assam,4785618,,,643316
06-11-2020,Assam,4811501,,,643316
07-11-2020,Assam,4834733,,,643316
08-11-2020,Assam,4845718,,,643316
09-11-2020,Assam,4874244,,,643316
10-11-2020,Assam,4899583,,,643316
11-11-2020,Assam,4926906,,,643316
12-11-2020,Assam,4951256,,,643316
13-11-2020,Assam,4977600,,,643316
14-11-2020,Assam,4991216,,,643316
15-11-2020,Assam,4999585,,,643316
16-11-2020,Assam,5018957,,,643316
17-11-2020,Assam,5043594,,,643316
18-11-2020,Assam,5067078,,,643316
19-11-2020,Assam,5089868,,,643316
20-11-2020,Assam,5108138,,,643316
21-11-2020,Assam,5127982,,,643316
22-11-2020,Assam,5137976,,,643316
23-11-2020,Assam,5163201,,,643316
24-11-2020,Assam,5184973,,,643316
25-11-2020,Assam,5209399,,,643316
26-11-2020,Assam,5230177,,,643316
27-11-2020,Assam,5256021,,,643316
28-11-2020,Assam,5279948,,,643316
29-11-2020,Assam,5291506,,,643316
30-11-2020,Assam,5314189,,,643316
01-12-2020,Assam,5342717,,,643316
02-12-2020,Assam,5368608,,,643316
03-12-2020,Assam,5396616,,,643316
04-12-2020,Assam,5425067,,,643316
05-12-2020,Assam,5449083,,,643316
06-12-2020,Assam,5460597,,,643316
07-12-2020,Assam,5490072,,,643316
08-12-2020,Assam,5510027,,,643316
09-12-2020,Assam,5538923,,,643316
10-12-2020,Assam,5561572,,,643316
11-12-2020,Assam,5582574,,,643316
12-12-2020,Assam,5604468,,,643316
13-12-2020,Assam,5615996,,,643316
14-12-2020,Assam,5644556,,,643316
15-12-2020,Assam,5670841,,,643316
16-12-2020,Assam,5693810,,,643316
17-12-2020,Assam,5717410,,,643316
18-12-2020,Assam,5740172,,,643316
19-12-2020,Assam,5760162,,,643316
20-12-2020,Assam,5770309,,,643316
21-12-2020,Assam,5794448,,,643316
22-12-2020,Assam,5817612,,,643316
23-12-2020,Assam,5839239,,,643316
24-12-2020,Assam,5861134,,,643316
25-12-2020,Assam,5872891,,,643316
26-12-2020,Assam,5891165,,,643316
27-12-2020,Assam,5901470,,,643316
28-12-2020,Assam,5926250,,,643316
29-12-2020,Assam,5949488,,,643316
30-12-2020,Assam,5974986,,,643316
31-12-2020,Assam,5997450,,,643316
01-01-2021,Assam,6014286,,,643316
02-01-2021,Assam,6038661,,,643316
03-01-2021,Assam,6047033,,,643316
04-01-2021,Assam,6071395,,,643316
05-01-2021,Assam,6093608,,,643316
06-01-2021,Assam,6116867,,,643316
07-01-2021,Assam,6136824,,,643316
08-01-2021,Assam,6155346,,,643316
09-01-2021,Assam,6171341,,,643316
10-01-2021,Assam,6179337,,,643316
11-01-2021,Assam,6198370,,,643316
12-01-2021,Assam,6214575,,,643316
13-01-2021,Assam,6226872,,,643316
14-01-2021,Assam,6232827,,,643316
15-01-2021,Assam,6241227,,,643316
16-01-2021,Assam,6255061,,,643316
17-01-2021,Assam,6262239,,,643316
18-01-2021,Assam,6280908,,,643316
19-01-2021,Assam,6298494,,,643316
20-01-2021,Assam,6314289,,,643316
21-01-2021,Assam,6331271,,,643316
22-01-2021,Assam,6348913,,,643316
23-01-2021,Assam,6363340,,,643316
24-01-2021,Assam,6369654,,,643316
25-01-2021,Assam,6388162,,,643316
26-01-2021,Assam,6395713,,,643316
27-01-2021,Assam,6412217,,,643316
28-01-2021,Assam,6429030,,,643316
29-01-2021,Assam,6445513,,,643316
30-01-2021,Assam,6459972,,,643316
31-01-2021,Assam,6465926,,,643316
01-02-2021,Assam,6482747,,,643316
02-02-2021,Assam,6498609,,,643316
03-02-2021,Assam,6514682,,,643316
04-02-2021,Assam,6530025,,,643316
05-02-2021,Assam,6546265,,,643316
06-02-2021,Assam,6561527,,,643316
07-02-2021,Assam,6567763,,,643316
08-02-2021,Assam,6586636,,,643316
09-02-2021,Assam,6603122,,,643316
10-02-2021,Assam,6621149,,,643316
11-02-2021,Assam,6636931,,,643316
12-02-2021,Assam,6651866,,,643316
13-02-2021,Assam,6665457,,,643316
14-02-2021,Assam,6671847,,,643316
15-02-2021,Assam,6687517,,,643316
16-02-2021,Assam,6699439,,,643316
17-02-2021,Assam,6714092,,,643316
18-02-2021,Assam,6727393,,,643316
19-02-2021,Assam,6741534,,,643316
20-02-2021,Assam,6755773,,,643316
21-02-2021,Assam,6761696,,,643316
22-02-2021,Assam,6777232,,,643316
23-02-2021,Assam,6791871,,,643316
24-02-2021,Assam,6806954,,,643316
25-02-2021,Assam,6820414,,,643316
26-02-2021,Assam,6832623,,,643316
27-02-2021,Assam,6844652,,,643316
28-02-2021,Assam,6850204,,,643316
01-03-2021,Assam,6864937,,,643316
02-03-2021,Assam,6878793,,,643316
03-03-2021,Assam,6892401,,,643316
04-03-2021,Assam,6905061,,,643316
05-03-2021,Assam,6918612,,,643316
06-03-2021,Assam,6930530,,,643316
07-03-2021,Assam,6936521,,,643316
08-03-2021,Assam,6951764,,,643316
09-03-2021,Assam,6965973,,,643316
10-03-2021,Assam,6980144,,,643316
11-03-2021,Assam,6991954,,,643316
12-03-2021,Assam,7004429,,,643316
13-03-2021,Assam,7015053,,,643316
14-03-2021,Assam,7020154,,,643316
15-03-2021,Assam,7034805,,,643316
16-03-2021,Assam,7049339,,,643316
17-03-2021,Assam,7062543,,,643316
18-03-2021,Assam,7076079,,,643316
19-03-2021,Assam,7089297,,,643316
20-03-2021,Assam,7102521,,,643316
21-03-2021,Assam,7109925,,,643316
22-03-2021,Assam,7125829,,,643316
23-03-2021,Assam,7140065,,,643316
24-03-2021,Assam,7155821,,,643316
25-03-2021,Assam,7170030,,,643316
26-03-2021,Assam,7184142,,,643316
27-03-2021,Assam,7193204,,,643316
28-03-2021,Assam,7198536,,,643316
29-03-2021,Assam,7205649,,,643316
30-03-2021,Assam,7218433,,,643316
31-03-2021,Assam,7231399,,,643316
01-04-2021,Assam,7243652,,,643316
02-04-2021,Assam,7255974,,,643316
03-04-2021,Assam,7271998,,,643316
04-04-2021,Assam,7279073,,,643316
05-04-2021,Assam,7296678,,,643316
06-04-2021,Assam,7311418,,,643316
07-04-2021,Assam,7332580,,,643316
08-04-2021,Assam,7355468,,,643316
09-04-2021,Assam,7380587,,,643316
10-04-2021,Assam,7448662,,,643316
11-04-2021,Assam,7521991,,,643316
12-04-2021,Assam,7624173,,,643316
13-04-2021,Assam,7683483,,,643316
14-04-2021,Assam,7713548,,,643316
15-04-2021,Assam,7731871,,,643316
16-04-2021,Assam,7764292,,,643316
17-04-2021,Assam,7807560,,,643316
18-04-2021,Assam,7830860,,,643316
19-04-2021,Assam,7896270,,,643316
20-04-2021,Assam,7963421,,,643316
21-04-2021,Assam,8025528,,,643316
22-04-2021,Assam,8098956,,,643316
23-04-2021,Assam,8171361,,,643316
24-04-2021,Assam,8240455,,,643316
25-04-2021,Assam,8274129,,,643316
26-04-2021,Assam,8347310,,,643316
27-04-2021,Assam,8409938,,,643316
28-04-2021,Assam,8465418,,,643316
29-04-2021,Assam,8532696,,,643316
30-04-2021,Assam,8604935,,,643316
01-05-2021,Assam,8658937,,,643316
02-05-2021,Assam,8682755,,,643316
03-05-2021,Assam,8738694,,,643316
04-05-2021,Assam,8793697,,,643316
05-05-2021,Assam,8845771,,,643316
06-05-2021,Assam,8907148,,,643316
07-05-2021,Assam,8975466,,,643316
08-05-2021,Assam,9040606,,,643316
09-05-2021,Assam,9076741,,,643316
10-05-2021,Assam,9148938,,,643316
11-05-2021,Assam,9217510,,,643316
12-05-2021,Assam,9281466,,,643316
13-05-2021,Assam,9341060,,,643316
14-05-2021,Assam,9385117,,,643316
15-05-2021,Assam,9449818,,,643316
16-05-2021,Assam,9492702,,,643316
17-05-2021,Assam,9584183,,,643316
18-05-2021,Assam,9674434,,,643316
19-05-2021,Assam,9776474,,,643316
20-05-2021,Assam,9879158,,,643316
21-05-2021,Assam,9982316,,,643316
22-05-2021,Assam,10089714,,,643316
23-05-2021,Assam,10152436,,,643316
24-05-2021,Assam,10273104,,,643316
25-05-2021,Assam,10387419,,,643316
26-05-2021,Assam,10503538,,,643316
27-05-2021,Assam,10622979,,,643316
28-05-2021,Assam,10745956,,,643316
29-05-2021,Assam,10862518,,,643316
30-05-2021,Assam,10934116,,,643316
31-05-2021,Assam,11045702,,,643316
01-06-2021,Assam,11161215,,,643316
02-06-2021,Assam,11264137,,,643316
03-06-2021,Assam,11371212,,,643316
04-06-2021,Assam,11494805,,,643316
05-06-2021,Assam,11610773,,,643316
06-06-2021,Assam,11684421,,,643316
07-06-2021,Assam,11808737,,,643316
08-06-2021,Assam,11941949,,,643316
09-06-2021,Assam,12057755,,,643316
10-06-2021,Assam,12180068,,,643316
11-06-2021,Assam,12349596,,,643316
12-06-2021,Assam,12511492,,,643316
13-06-2021,Assam,12611947,,,643316
14-06-2021,Assam,12757993,,,643316
15-06-2021,Assam,12890922,,,643316
16-06-2021,Assam,13020975,,,643316
17-06-2021,Assam,13175239,,,643316
18-06-2021,Assam,13347159,,,643316
19-06-2021,Assam,13508579,,,643316
20-06-2021,Assam,13586629,,,643316
21-06-2021,Assam,13757485,,,643316
22-06-2021,Assam,13910205,,,643316
23-06-2021,Assam,14076432,,,643316
24-06-2021,Assam,14200451,,,643316
25-06-2021,Assam,14339556,,,643316
26-06-2021,Assam,14467443,,,643316
27-06-2021,Assam,14522574,,,643316
28-06-2021,Assam,14656117,,,643316
29-06-2021,Assam,14757339,,,643316
30-06-2021,Assam,14848791,,,643316
01-07-2021,Assam,14986456,,,643316
02-07-2021,Assam,15140437,,,643316
03-07-2021,Assam,15274522,,,643316
04-07-2021,Assam,15328370,,,643316
05-07-2021,Assam,15444912,,,643316
06-07-2021,Assam,15545174,,,643316
05-04-2020,Bihar,3037,2299,32,32
08-04-2020,Bihar,4596,,38,70
09-04-2020,Bihar,4991,,43,81
10-04-2020,Bihar,5457,,60,103
11-04-2020,Bihar,6250,,61,121
12-04-2020,Bihar,6703,,64,125
13-04-2020,Bihar,7263,,65,129
14-04-2020,Bihar,7727,,62,127
15-04-2020,Bihar,8263,,66,128
16-04-2020,Bihar,8846,,72,138
17-04-2020,Bihar,9486,,83,155
18-04-2020,Bihar,10130,,85,168
19-04-2020,Bihar,10745,,92,177
20-04-2020,Bihar,11319,,96,188
21-04-2020,Bihar,11999,,115,211
22-04-2020,Bihar,12978,,136,251
23-04-2020,Bihar,13785,,148,284
24-04-2020,Bihar,14924,,176,324
25-04-2020,Bihar,15885,,238,414
26-04-2020,Bihar,17041,,255,493
27-04-2020,Bihar,18179,,328,583
28-04-2020,Bihar,19790,,346,674
29-04-2020,Bihar,21180,,383,729
30-04-2020,Bihar,22672,,409,792
01-05-2020,Bihar,24118,,466,875
02-05-2020,Bihar,25724,,476,942
03-05-2020,Bihar,26951,,485,961
04-05-2020,Bihar,28345,,525,1010
05-05-2020,Bihar,28791,,529,1054
06-05-2020,Bihar,29328,,539,1068
07-05-2020,Bihar,29841,,547,1086
08-05-2020,Bihar,30320,,564,1111
09-05-2020,Bihar,31552,,585,1149
10-05-2020,Bihar,32670,,653,1238
11-05-2020,Bihar,34662,,714,1367
12-05-2020,Bihar,37430,,796,1510
13-05-2020,Bihar,39149,,909,1705
14-05-2020,Bihar,40782,,970,1879
15-05-2020,Bihar,42645,,1010,1980
16-05-2020,Bihar,44340,,1083,2093
17-05-2020,Bihar,45729,,1193,2276
18-05-2020,Bihar,46996,,1391,2584
19-05-2020,Bihar,50563,,1495,2886
20-05-2020,Bihar,53361,,1607,3102
21-05-2020,Bihar,55692,,1881,3488
22-05-2020,Bihar,58481,,2098,3979
23-05-2020,Bihar,61220,,2344,4442
24-05-2020,Bihar,63741,,2507,4851
27-05-2020,Bihar,68262,,3010,5517
28-05-2020,Bihar,70275,,3106,6116
29-05-2020,Bihar,72256,,3276,6382
30-05-2020,Bihar,73929,,3511,6787
31-05-2020,Bihar,75737,,3692,7203
01-06-2020,Bihar,78090,,3872,7564
02-06-2020,Bihar,81413,,4049,7921
03-06-2020,Bihar,84729,,4273,8322
04-06-2020,Bihar,88313,,4420,8693
05-06-2020,Bihar,91903,,4551,8971
06-06-2020,Bihar,95473,,4745,9296
07-06-2020,Bihar,99108,,4972,9717
08-06-2020,Bihar,102318,,5176,10148
09-06-2020,Bihar,105588,,5364,10540
10-06-2020,Bihar,109483,,5583,10947
11-06-2020,Bihar,113225,,5807,11390
12-06-2020,Bihar,116671,,6043,11850
13-06-2020,Bihar,120086,,6183,12226
14-06-2020,Bihar,123629,,6355,12538
15-06-2020,Bihar,127126,,6581,12936
16-06-2020,Bihar,130783,,6736,13317
17-06-2020,Bihar,134402,,6889,13625
18-06-2020,Bihar,139584,,6993,13882
19-06-2020,Bihar,145562,,7178,14171
20-06-2020,Bihar,151148,,7380,14558
21-06-2020,Bihar,156926,,7602,14982
22-06-2020,Bihar,163476,,7808,15410
23-06-2020,Bihar,169401,,7974,15782
24-06-2020,Bihar,175103,,8180,16154
25-06-2020,Bihar,181737,,8381,16561
26-06-2020,Bihar,189643,,8611,16992
27-06-2020,Bihar,198385,,8859,17470
28-06-2020,Bihar,205832,,9117,17976
29-06-2020,Bihar,212659,,9506,18623
30-06-2020,Bihar,220890,,9744,19250
01-07-2020,Bihar,228689,,10075,19819
02-07-2020,Bihar,235980,,10392,20467
03-07-2020,Bihar,243167,,10911,21303
04-07-2020,Bihar,251097,,11457,22368
05-07-2020,Bihar,257896,,11860,23317
06-07-2020,Bihar,264109,,12140,24000
07-07-2020,Bihar,269277,,12525,24665
08-07-2020,Bihar,275554,,13274,25799
09-07-2020,Bihar,284059,,13978,27252
10-07-2020,Bihar,291654,,14330,28308
11-07-2020,Bihar,300762,,15039,29369
12-07-2020,Bihar,310013,,16305,31344
13-07-2020,Bihar,319142,,17421,33726
14-07-2020,Bihar,329160,,18853,36274
15-07-2020,Bihar,337212,,20173,39026
16-07-2020,Bihar,347457,,21558,41731
17-07-2020,Bihar,357730,,23300,44858
18-07-2020,Bihar,368232,,24967,48267
19-07-2020,Bihar,378508,,26379,51346
20-07-2020,Bihar,388626,,27455,53834
21-07-2020,Bihar,398929,,28564,56019
22-07-2020,Bihar,409088,,30066,58630
23-07-2020,Bihar,419208,,31691,61757
24-07-2020,Bihar,429664,,33511,65202
25-07-2020,Bihar,442125,,36314,69825
26-07-2020,Bihar,456324,,38919,75233
27-07-2020,Bihar,470560,,41111,80030
28-07-2020,Bihar,486835,,43591,84702
29-07-2020,Bihar,504629,,45919,89510
30-07-2020,Bihar,525430,,48001,93920
31-07-2020,Bihar,548172,,50987,98988
01-08-2020,Bihar,576796,,54508,105495
02-08-2020,Bihar,612415,,57270,111778
03-08-2020,Bihar,648939,,59567,116837
04-08-2020,Bihar,687154,,62301,121868
05-08-2020,Bihar,739078,,64732,127033
06-08-2020,Bihar,799332,,68148,132880
07-08-2020,Bihar,870852,,71794,139942
08-08-2020,Bihar,946278,,75786,147580
09-08-2020,Bihar,1021906,,79720,155506
10-08-2020,Bihar,1097252,,82741,162461
11-08-2020,Bihar,1180566,,86812,169553
12-08-2020,Bihar,1272980,,90553,177365
13-08-2020,Bihar,1377432,,,177365
14-08-2020,Bihar,1498752,,,177365
15-08-2020,Bihar,1612250,,,177365
16-08-2020,Bihar,1679462,,,177365
17-08-2020,Bihar,1787189,,,177365
18-08-2020,Bihar,1899970,,,177365
19-08-2020,Bihar,2008149,,,177365
20-08-2020,Bihar,2116094,,,177365
21-08-2020,Bihar,2228516,,,177365
22-08-2020,Bihar,2331461,,,177365
